,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
94,0.4508453369140625,0.018247945856367263,0.028370189666748046,0.003627678632778756,1,10,99,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 99}",0.3,0.325,0.4,0.3375,0.3875,0.35,0.03791437722025776,10399
95,0.4538358211517334,0.014941641585904598,0.028436613082885743,0.002580115589758199,1,10,100,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 100}",0.3,0.325,0.3875,0.3375,0.3875,0.34750000000000003,0.03482097069296031,10411
96,0.02880072593688965,0.0006474995632367857,0.002726840972900391,0.00020898453494371105,1,30,5,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 5}",0.25,0.3125,0.2875,0.2875,0.3,0.2875,0.02091650066335189,11519
97,0.03403749465942383,0.0011236769930501164,0.0030194759368896485,0.00013867951076914899,1,30,6,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 6}",0.2875,0.3125,0.2875,0.2875,0.3,0.295,0.010000000000000009,11510
98,0.039571523666381836,0.0015483266648762227,0.003625345230102539,0.0006747065902306979,1,30,7,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 7}",0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.0,11519
99,0.04504008293151855,0.004664695960169731,0.003696775436401367,0.0003700557308149005,1,30,8,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 8}",0.2875,0.2875,0.2875,0.2875,0.3,0.29,0.0050000000000000044,11518
100,0.056235742568969724,0.012347578429484305,0.004030370712280273,0.0005468804310804101,1,30,9,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 9}",0.275,0.3125,0.2875,0.2875,0.3,0.29250000000000004,0.012747548783981958,11516
101,0.058246183395385745,0.014438745076943694,0.003585529327392578,0.0005142443783283816,1,30,10,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 10}",0.2875,0.3125,0.2875,0.2875,0.3,0.295,0.010000000000000009,11510
102,0.058133697509765624,0.003626363603751386,0.004455375671386719,0.000223438962518785,1,30,11,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 11}",0.2875,0.3125,0.2875,0.2875,0.3,0.295,0.010000000000000009,11510
103,0.07451181411743164,0.008206357370477847,0.005369758605957032,0.0008888063459637415,1,30,12,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 12}",0.2875,0.3,0.2875,0.2875,0.3,0.2925,0.006123724356957951,11517
104,0.07052435874938964,0.0053891359532731685,0.0048484325408935545,0.00013556920674058588,1,30,13,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 13}",0.3375,0.3,0.2875,0.3,0.2875,0.30249999999999994,0.01837117307087385,11502
105,0.07241220474243164,0.0021525432853139034,0.004996204376220703,0.0002607383166155991,1,30,14,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 14}",0.3375,0.3125,0.2875,0.2875,0.3125,0.3075,0.018708286933869722,11462
106,0.0803943157196045,0.0040720001981933,0.005663585662841797,0.000469640724921188,1,30,15,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 15}",0.3375,0.3125,0.2875,0.3,0.3,0.3075,0.016955824957813188,11462
107,0.0829188346862793,0.00310736805517835,0.005971670150756836,0.0008876809681435643,1,30,16,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 16}",0.325,0.3125,0.2875,0.3,0.3125,0.3075,0.012747548783981974,11462
108,0.08675446510314941,0.0022186552271350824,0.007192182540893555,0.002917501822067021,1,30,17,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 17}",0.325,0.3125,0.2875,0.3125,0.3,0.3075,0.012747548783981974,11462
109,0.0939302921295166,0.006344732105480693,0.0063568115234375,0.0005704925395677195,1,30,18,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 18}",0.325,0.3125,0.2875,0.3125,0.3,0.3075,0.012747548783981974,11462
110,0.09903573989868164,0.0036283116562275852,0.006432151794433594,0.00012740680194056906,1,30,19,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 19}",0.325,0.325,0.2875,0.3125,0.3,0.31,0.014577379737113264,11448
111,0.10152258872985839,0.0018233338673767133,0.006403827667236328,0.0001689122254952427,1,30,20,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 20}",0.325,0.325,0.2875,0.325,0.325,0.3175,0.015000000000000015,11337
112,0.10731244087219238,0.005596297829378775,0.006989192962646484,0.00033861194712214645,1,30,21,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 21}",0.325,0.325,0.2875,0.325,0.3,0.3125,0.015811388300841913,11433
113,0.11637191772460938,0.0030578997890888505,0.008242130279541016,0.0016317804044774682,1,30,22,"{'max_depth': 1, 'max_features': 30, 'n_estimators': 22}",0.325,0.3125,0.2875,0.3625,0.3,0.3175,0.025739075352467503,11337
